,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.011819846000001633,555.0,10,0.1,100
1,1,0.03183647599999517,566.0,10,0.1,100
2,2,0.04284089400000113,566.0,10,0.1,100
3,3,0.053483114999998804,566.0,10,0.1,100
4,4,0.06399130799999853,566.0,10,0.1,100
5,5,0.076386559999996,566.0,10,0.1,100
6,6,0.08771116700000192,569.0,10,0.1,100
7,7,0.09953569500000015,571.0,10,0.1,100
8,8,0.11095145499999859,571.0,10,0.1,100
9,9,0.12228573400000187,571.0,10,0.1,100
10,10,0.1327628809999979,571.0,10,0.1,100
11,11,0.1433178280000007,571.0,10,0.1,100
12,12,0.15401668100000165,571.0,10,0.1,100
13,13,0.16522959799999626,574.0,10,0.1,100
14,14,0.17550628299999715,574.0,10,0.1,100
15,15,0.18636096499999866,576.0,10,0.1,100
16,16,0.19620901999999774,576.0,10,0.1,100
17,17,0.20706089200000122,577.0,10,0.1,100
18,18,0.21726569300000165,577.0,10,0.1,100
19,19,0.22753303799999713,577.0,10,0.1,100
20,20,0.23754885999999686,577.0,10,0.1,100
21,21,0.24772678400000103,577.0,10,0.1,100
22,22,0.2588919969999992,577.0,10,0.1,100
23,23,0.2691186280000011,577.0,10,0.1,100
24,24,0.2790197329999984,577.0,10,0.1,100
25,25,0.2891427399999955,577.0,10,0.1,100
26,26,0.2991396549999976,577.0,10,0.1,100
27,27,0.30921003499999955,577.0,10,0.1,100
28,28,0.31905135499999915,577.0,10,0.1,100
29,29,0.32905347799999873,577.0,10,0.1,100
30,30,0.33879731199999696,577.0,10,0.1,100
31,31,0.34918445299999945,577.0,10,0.1,100
32,32,0.3591063349999999,577.0,10,0.1,100
33,33,0.3690395169999974,577.0,10,0.1,100
34,34,0.3791161850000009,577.0,10,0.1,100
35,35,0.38929909400000184,577.0,10,0.1,100
36,36,0.3993773739999966,577.0,10,0.1,100
37,37,0.40946725999999956,577.0,10,0.1,100
38,38,0.009896102000006124,555.0,10,0.25,100
39,39,0.026185807000004502,566.0,10,0.25,100
40,40,0.036748084000002734,566.0,10,0.25,100
41,41,0.04732614699999971,566.0,10,0.25,100
42,42,0.05780536099999978,566.0,10,0.25,100
43,43,0.06839745399999941,566.0,10,0.25,100
44,44,0.07855195700000195,566.0,10,0.25,100
45,45,0.08871922200000171,566.0,10,0.25,100
46,46,0.09961470000000361,571.0,10,0.25,100
47,47,0.10987536700000078,571.0,10,0.25,100
48,48,0.12017755900000537,571.0,10,0.25,100
49,49,0.13023315700000637,571.0,10,0.25,100
50,50,0.14001280400000127,571.0,10,0.25,100
51,51,0.15166443900000104,572.0,10,0.25,100
52,52,0.1617019380000002,572.0,10,0.25,100
53,53,0.17168321700000178,572.0,10,0.25,100
54,54,0.18259196300000013,573.0,10,0.25,100
55,55,0.1930120439999996,573.0,10,0.25,100
56,56,0.20311160400000006,573.0,10,0.25,100
57,57,0.21367892199999972,573.0,10,0.25,100
58,58,0.22456674700000434,574.0,10,0.25,100
59,59,0.23497440800000646,574.0,10,0.25,100
60,60,0.2459886370000035,577.0,10,0.25,100
61,61,0.2561406240000039,577.0,10,0.25,100
62,62,0.26674433400000197,577.0,10,0.25,100
63,63,0.2775486720000018,577.0,10,0.25,100
64,64,0.2874257369999995,577.0,10,0.25,100
65,65,0.29753032400000023,577.0,10,0.25,100
66,66,0.3076231220000025,577.0,10,0.25,100
67,67,0.31766523800000357,577.0,10,0.25,100
68,68,0.3277797920000012,577.0,10,0.25,100
69,69,0.3376308070000036,577.0,10,0.25,100
70,70,0.34817659000000134,577.0,10,0.25,100
71,71,0.35884992800000504,577.0,10,0.25,100
72,72,0.36942441800000125,577.0,10,0.25,100
73,73,0.3796614840000032,577.0,10,0.25,100
74,74,0.39011012800000344,577.0,10,0.25,100
75,75,0.4008320740000002,577.0,10,0.25,100
76,76,0.41141590100000514,577.0,10,0.25,100
77,77,0.422479960000004,577.0,10,0.25,100
78,78,0.4323893950000013,577.0,10,0.25,100
79,79,0.4423290050000048,577.0,10,0.25,100
80,80,0.4522591350000056,577.0,10,0.25,100
81,81,0.011076479999999833,555.0,10,0.5,100
82,82,0.031923403999996935,566.0,10,0.5,100
83,83,0.042629831999995815,566.0,10,0.5,100
84,84,0.05402487599999972,567.0,10,0.5,100
85,85,0.06558622299999683,569.0,10,0.5,100
86,86,0.07724351699999943,570.0,10,0.5,100
87,87,0.08778931300000181,570.0,10,0.5,100
88,88,0.09892639199999564,571.0,10,0.5,100
89,89,0.10910546399999532,571.0,10,0.5,100
90,90,0.11940776400000175,571.0,10,0.5,100
