,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.009604057000000665,2.0,500,0.1,25
1,1,0.049366322000000906,14.0,500,0.1,25
2,2,0.07939242600000007,14.0,500,0.1,25
3,3,0.10840768399999945,14.0,500,0.1,25
4,4,0.1380883869999998,14.0,500,0.1,25
5,5,0.16880584199999937,14.0,500,0.1,25
6,6,0.1971906739999998,14.0,500,0.1,25
7,7,0.2259171809999998,14.0,500,0.1,25
8,8,0.25407037199999927,14.0,500,0.1,25
9,9,0.2838098149999997,14.0,500,0.1,25
10,10,0.3182995109999993,14.0,500,0.1,25
11,11,0.34761055699999943,14.0,500,0.1,25
12,12,0.37848393900000055,14.0,500,0.1,25
13,13,0.4158428119999993,14.0,500,0.1,25
14,14,0.4520302839999992,14.0,500,0.1,25
15,15,0.4844745659999994,14.0,500,0.1,25
16,16,0.5141608370000004,14.0,500,0.1,25
17,17,0.5433479660000007,14.0,500,0.1,25
18,18,0.5723849590000007,14.0,500,0.1,25
19,19,0.6011747310000004,14.0,500,0.1,25
20,20,0.6311220540000004,14.0,500,0.1,25
21,21,0.66327976,14.0,500,0.1,25
22,22,0.009219867000000548,2.0,500,0.25,25
23,23,0.04937287799999979,14.0,500,0.25,25
24,24,0.0806095779999989,14.0,500,0.25,25
25,25,0.11186094299999993,14.0,500,0.25,25
26,26,0.14272918700000048,14.0,500,0.25,25
27,27,0.17369825199999944,14.0,500,0.25,25
28,28,0.20493927199999895,14.0,500,0.25,25
29,29,0.23408936699999927,14.0,500,0.25,25
30,30,0.2679334329999996,14.0,500,0.25,25
31,31,0.29892246300000025,14.0,500,0.25,25
32,32,0.3285034309999997,14.0,500,0.25,25
33,33,0.3582223520000003,14.0,500,0.25,25
34,34,0.3884518099999994,14.0,500,0.25,25
35,35,0.41772921099999927,14.0,500,0.25,25
36,36,0.4491599690000001,14.0,500,0.25,25
37,37,0.48251412099999946,14.0,500,0.25,25
38,38,0.511886531,14.0,500,0.25,25
39,39,0.5422378069999993,14.0,500,0.25,25
40,40,0.5715744750000002,14.0,500,0.25,25
41,41,0.6022506750000005,14.0,500,0.25,25
42,42,0.6331774709999998,14.0,500,0.25,25
43,43,0.6625620369999989,14.0,500,0.25,25
44,44,0.009213868999999875,2.0,500,0.5,25
45,45,0.05154569799999997,14.0,500,0.5,25
46,46,0.08460886100000131,14.0,500,0.5,25
47,47,0.11871639399999978,14.0,500,0.5,25
48,48,0.15155004400000038,14.0,500,0.5,25
49,49,0.18237148700000105,14.0,500,0.5,25
50,50,0.21433913500000124,14.0,500,0.5,25
51,51,0.24497696899999966,14.0,500,0.5,25
52,52,0.27512608500000013,14.0,500,0.5,25
53,53,0.3059301990000005,14.0,500,0.5,25
54,54,0.33646499399999996,14.0,500,0.5,25
55,55,0.36701778200000135,14.0,500,0.5,25
56,56,0.39871201000000056,14.0,500,0.5,25
57,57,0.42889605500000094,14.0,500,0.5,25
58,58,0.46109857200000093,14.0,500,0.5,25
59,59,0.49499998599999984,14.0,500,0.5,25
60,60,0.526684436,14.0,500,0.5,25
61,61,0.5569274960000001,14.0,500,0.5,25
62,62,0.5878417930000008,14.0,500,0.5,25
63,63,0.6204763990000011,14.0,500,0.5,25
64,64,0.6515821890000009,14.0,500,0.5,25
65,65,0.6842807920000009,14.0,500,0.5,25
66,66,0.009517166000000188,2.0,500,0.75,25
67,67,0.05020548499999933,14.0,500,0.75,25
68,68,0.08122762400000028,14.0,500,0.75,25
69,69,0.11233506399999982,14.0,500,0.75,25
70,70,0.14871343699999962,14.0,500,0.75,25
71,71,0.179805687,14.0,500,0.75,25
72,72,0.21069520900000072,14.0,500,0.75,25
73,73,0.24228221599999955,14.0,500,0.75,25
74,74,0.2739820090000009,14.0,500,0.75,25
75,75,0.3060829209999998,14.0,500,0.75,25
76,76,0.3377288509999996,14.0,500,0.75,25
77,77,0.3683967179999996,14.0,500,0.75,25
78,78,0.3993366490000003,14.0,500,0.75,25
79,79,0.433524589000001,14.0,500,0.75,25
80,80,0.46450506100000055,14.0,500,0.75,25
81,81,0.49737104200000104,14.0,500,0.75,25
82,82,0.5314209759999997,14.0,500,0.75,25
83,83,0.5620948160000001,14.0,500,0.75,25
84,84,0.5930680979999998,14.0,500,0.75,25
85,85,0.6241018450000002,14.0,500,0.75,25
86,86,0.6562963459999995,14.0,500,0.75,25
87,87,0.6900846660000006,14.0,500,0.75,25
88,88,0.017398237000000094,2.0,1000,0.1,25
89,89,0.09161605200000089,14.0,1000,0.1,25
90,90,0.15576592600000083,14.0,1000,0.1,25
91,91,0.22024904200000073,14.0,1000,0.1,25
92,92,0.28655540499999965,14.0,1000,0.1,25
93,93,0.3523557610000001,14.0,1000,0.1,25
