,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,2.0,0.009604057000000665,"[0, 0, 1, 1, 1, 1, 0, 0]",500,0.1,25
1,25,14.0,0.66327976,"[1, 1, 1, 1, 1, 1, 0, 0]",500,0.1,25
2,0,2.0,0.009219867000000548,"[0, 0, 1, 1, 1, 1, 0, 0]",500,0.25,25
3,25,14.0,0.6625620369999989,"[1, 1, 1, 1, 1, 1, 0, 0]",500,0.25,25
4,0,2.0,0.009213868999999875,"[0, 0, 1, 1, 1, 1, 0, 0]",500,0.5,25
5,25,14.0,0.6842807920000009,"[1, 1, 0, 0, 0, 0, 0, 0]",500,0.5,25
6,0,2.0,0.009517166000000188,"[0, 0, 1, 1, 1, 1, 0, 0]",500,0.75,25
7,25,14.0,0.6900846660000006,"[1, 1, 1, 1, 1, 1, 0, 0]",500,0.75,25
8,0,2.0,0.017398237000000094,"[0, 0, 1, 1, 1, 1, 0, 0]",1000,0.1,25
9,25,14.0,1.4237856880000006,"[1, 1, 0, 0, 0, 0, 0, 0]",1000,0.1,25
10,0,2.0,0.017424016999999736,"[0, 0, 1, 1, 1, 1, 0, 0]",1000,0.25,25
11,25,14.0,1.439876138999999,"[1, 1, 0, 0, 0, 0, 0, 0]",1000,0.25,25
12,0,2.0,0.017230676999998806,"[0, 0, 1, 1, 1, 1, 0, 0]",1000,0.5,25
13,25,14.0,1.467397307999999,"[1, 1, 0, 0, 0, 0, 0, 0]",1000,0.5,25
14,0,2.0,0.019827296999999078,"[0, 0, 1, 1, 1, 1, 0, 0]",1000,0.75,25
15,25,14.0,1.6056496399999993,"[1, 1, 1, 1, 1, 1, 0, 0]",1000,0.75,25
16,0,2.0,0.04248360300000087,"[0, 0, 1, 1, 1, 1, 0, 0]",2000,0.1,25
17,25,14.0,3.281298563,"[1, 1, 1, 1, 1, 1, 0, 0]",2000,0.1,25
18,0,2.0,0.036586369999998425,"[0, 0, 1, 1, 1, 1, 0, 0]",2000,0.25,25
19,25,14.0,3.183418547999999,"[1, 1, 1, 1, 1, 1, 0, 0]",2000,0.25,25
20,0,2.0,0.03708123600000235,"[0, 0, 1, 1, 1, 1, 0, 0]",2000,0.5,25
21,25,14.0,3.3048123540000027,"[1, 1, 1, 1, 1, 1, 0, 0]",2000,0.5,25
22,0,2.0,0.037802294999998765,"[0, 0, 1, 1, 1, 1, 0, 0]",2000,0.75,25
23,25,14.0,3.258716776,"[1, 1, 1, 1, 1, 1, 0, 0]",2000,0.75,25
24,0,2.0,0.05209074899999777,"[0, 0, 1, 1, 1, 1, 0, 0]",3000,0.1,25
25,25,14.0,5.137900763999998,"[1, 1, 1, 1, 1, 1, 0, 0]",3000,0.1,25
26,0,2.0,0.04948548099999783,"[0, 0, 1, 1, 1, 1, 0, 0]",3000,0.25,25
27,25,14.0,5.073767994000001,"[1, 1, 1, 1, 1, 1, 0, 0]",3000,0.25,25
28,0,2.0,0.051565077000006454,"[0, 0, 1, 1, 1, 1, 0, 0]",3000,0.5,25
29,25,14.0,5.083382610000001,"[1, 1, 0, 0, 0, 0, 0, 0]",3000,0.5,25
30,0,2.0,0.056987380999999004,"[0, 0, 1, 1, 1, 1, 0, 0]",3000,0.75,25
31,25,14.0,5.380889771,"[1, 1, 0, 0, 0, 0, 0, 0]",3000,0.75,25
