,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,2.0,0.00012738600000261613,"[0, 0, 1, 1, 1, 1, 0, 0]",10,2500,0
1,2500,8.0,0.01264772300000061,"[0, 0, 0, 0, 0, 0, 0, 0]",10,2500,0
2,0,0.0,0.021093235000002153,"[0, 0, 0, 0, 1, 0, 0, 1]",10,2500,1
3,2500,8.0,0.03777852000000337,"[0, 0, 0, 0, 0, 0, 0, 0]",10,2500,1
4,0,1.0,0.045331548000000055,"[1, 0, 0, 0, 1, 0, 0, 1]",10,2500,2
5,2500,8.0,0.06685765800000354,"[0, 0, 0, 0, 0, 0, 0, 0]",10,2500,2
6,0,0.0,0.0787303920000042,"[0, 0, 1, 1, 1, 1, 1, 1]",10,2500,3
7,2500,8.0,0.11443560400000052,"[1, 1, 1, 1, 1, 1, 1, 1]",10,2500,3
8,0,1.0,0.1273262780000053,"[1, 0, 1, 0, 0, 1, 1, 1]",10,2500,4
9,2500,8.0,0.16018143700000564,"[1, 1, 1, 1, 1, 1, 1, 1]",10,2500,4
10,0,1.0,0.17150317100000478,"[1, 0, 1, 1, 1, 0, 0, 1]",10,2500,5
11,2500,14.0,0.20958823800000204,"[1, 1, 1, 1, 1, 1, 0, 0]",10,2500,5
12,0,1.0,0.2229912970000001,"[1, 0, 1, 0, 1, 1, 0, 1]",10,2500,6
13,2500,14.0,0.26388795400000475,"[1, 1, 1, 1, 1, 1, 0, 0]",10,2500,6
14,0,1.0,0.2773360320000009,"[1, 0, 0, 0, 1, 0, 0, 1]",10,2500,7
15,2500,14.0,0.3218683899999988,"[1, 1, 1, 1, 1, 1, 0, 0]",10,2500,7
16,0,1.0,0.33627847300000013,"[0, 0, 1, 1, 1, 0, 1, 0]",10,2500,8
17,2500,8.0,0.3898764159999999,"[0, 0, 0, 0, 0, 0, 0, 0]",10,2500,8
18,0,0.0,0.406915853000001,"[0, 1, 0, 0, 0, 1, 1, 1]",10,2500,9
19,2500,8.0,0.45853131700000205,"[0, 0, 0, 0, 0, 0, 0, 0]",10,2500,9
20,0,0.0,0.47746222199999977,"[0, 0, 1, 1, 1, 0, 0, 1]",10,2500,10
21,2500,14.0,0.5332943720000003,"[1, 1, 0, 0, 0, 0, 0, 0]",10,2500,10
