,Iteration,Time,Fitness,Temperature,max_iters
0,0,0.00010014099999988701,2.0,0.05,2500
1,1,0.007696691000000033,2.0,0.05,2500
2,2,0.00773527499999993,2.0,0.05,2500
3,3,0.0077720599999999695,2.0,0.05,2500
4,4,0.00780073300000006,2.0,0.05,2500
5,5,0.007833503999999936,11.0,0.05,2500
6,6,0.007861920999999938,11.0,0.05,2500
7,7,0.007896651000000032,11.0,0.05,2500
8,8,0.007929035999999945,12.0,0.05,2500
9,9,0.007960186000000036,12.0,0.05,2500
10,10,0.007990492000000016,12.0,0.05,2500
11,11,0.008019063999999965,12.0,0.05,2500
12,12,0.008045797999999937,12.0,0.05,2500
13,13,0.008072709999999983,12.0,0.05,2500
14,14,0.008098517999999943,12.0,0.05,2500
15,15,0.00812494500000005,12.0,0.05,2500
16,16,0.008151899999999879,12.0,0.05,2500
17,17,0.00817913300000006,12.0,0.05,2500
18,18,0.008212544000000044,14.0,0.05,2500
19,19,0.008243325000000024,14.0,0.05,2500
20,20,0.008278760999999912,14.0,0.05,2500
21,21,0.008312038999999993,14.0,0.05,2500
22,22,0.008346414999999885,14.0,0.05,2500
23,23,0.008378551999999928,14.0,0.05,2500
24,24,0.008410808000000047,14.0,0.05,2500
25,25,0.008442690999999947,14.0,0.05,2500
26,26,0.008475438999999918,14.0,0.05,2500
27,27,0.008506697000000063,14.0,0.05,2500
28,28,0.008540804999999985,14.0,0.05,2500
29,29,0.00857120999999994,14.0,0.05,2500
30,30,0.008604534999999913,14.0,0.05,2500
31,31,0.008638413999999983,14.0,0.05,2500
32,32,0.008669346000000022,14.0,0.05,2500
33,33,0.008702620999999855,14.0,0.05,2500
34,34,0.008736770999999921,14.0,0.05,2500
35,35,0.00877257500000006,14.0,0.05,2500
36,36,0.008806290999999966,14.0,0.05,2500
37,37,0.008834980000000048,14.0,0.05,2500
38,38,0.00886308399999991,14.0,0.05,2500
39,39,0.008893373000000038,14.0,0.05,2500
40,40,0.008922941000000018,14.0,0.05,2500
41,41,0.00895069599999987,14.0,0.05,2500
42,42,0.008979282999999949,14.0,0.05,2500
43,43,0.009011265999999907,14.0,0.05,2500
44,44,0.009040398999999866,14.0,0.05,2500
45,45,0.00906894700000005,14.0,0.05,2500
46,46,0.009098880000000031,14.0,0.05,2500
47,47,0.009128977000000038,14.0,0.05,2500
48,48,0.009158301999999896,14.0,0.05,2500
49,49,0.009186836000000032,14.0,0.05,2500
50,50,0.00921322400000002,14.0,0.05,2500
51,51,0.009245642999999859,14.0,0.05,2500
52,52,0.00927513999999996,14.0,0.05,2500
53,53,0.009305581000000007,14.0,0.05,2500
54,54,0.009334916000000026,14.0,0.05,2500
55,55,0.009364755999999863,14.0,0.05,2500
56,56,0.0093946359999999,14.0,0.05,2500
57,57,0.009426769999999918,14.0,0.05,2500
58,58,0.009456624999999885,14.0,0.05,2500
59,59,0.009488568999999947,14.0,0.05,2500
60,60,0.009521359999999923,14.0,0.05,2500
61,61,0.009549735999999864,14.0,0.05,2500
62,62,0.009578015999999856,14.0,0.05,2500
63,63,0.00960904600000001,14.0,0.05,2500
64,64,0.009640336999999999,14.0,0.05,2500
65,65,0.009676030999999918,14.0,0.05,2500
66,66,0.009706033999999919,14.0,0.05,2500
67,67,0.009737855000000017,14.0,0.05,2500
68,68,0.009766981000000063,14.0,0.05,2500
69,69,0.0097975079999999,14.0,0.05,2500
70,70,0.00982741900000006,14.0,0.05,2500
71,71,0.009859032000000045,14.0,0.05,2500
72,72,0.009889907999999892,14.0,0.05,2500
73,73,0.009917774000000046,14.0,0.05,2500
74,74,0.009947609999999996,14.0,0.05,2500
75,75,0.009977769000000025,14.0,0.05,2500
76,76,0.010008084999999944,14.0,0.05,2500
77,77,0.010042340000000038,14.0,0.05,2500
78,78,0.010070679999999887,14.0,0.05,2500
79,79,0.010102032000000039,14.0,0.05,2500
80,80,0.010131093999999896,14.0,0.05,2500
81,81,0.010160012000000052,14.0,0.05,2500
82,82,0.01021248099999994,14.0,0.05,2500
83,83,0.010246529000000004,14.0,0.05,2500
84,84,0.010277372000000007,14.0,0.05,2500
85,85,0.010307056999999897,14.0,0.05,2500
86,86,0.01033786999999986,14.0,0.05,2500
87,87,0.01036826199999985,14.0,0.05,2500
88,88,0.010399674999999942,14.0,0.05,2500
