,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
0,0,2.0,0.00010014099999988701,"[1, 1, 0, 0, 1, 1, 1, 1]",geometric,0.05,0.99,0.001,0.04999994967749119,0.05,2500,
1,2500,14.0,0.014794465999999895,"[1, 1, 0, 0, 0, 0, 0, 0]",geometric,0.05,0.99,0.001,0.049992566085082034,0.05,2500,
2,0,2.0,7.623899999997796e-05,"[1, 1, 0, 0, 1, 1, 1, 1]",exponential,0.05,,0.001,0.04999998094025364,0.05,2500,0.005
3,2500,14.0,0.014771193000000071,"[1, 1, 0, 0, 0, 0, 0, 0]",exponential,0.05,,0.001,0.049996307338114235,0.05,2500,0.005
4,0,2.0,6.491699999999767e-05,"[1, 1, 0, 0, 1, 1, 1, 1]",arithmetic,0.05,0.0001,0.001,0.049999993508300006,0.05,2500,
5,2500,14.0,0.015576684000000007,"[1, 1, 0, 0, 0, 0, 0, 0]",arithmetic,0.05,0.0001,0.001,0.0499984423316,0.05,2500,
6,0,2.0,7.191400000006176e-05,"[1, 1, 0, 0, 1, 1, 1, 1]",geometric,0.1,0.99,0.001,0.09999992772404087,0.1,2500,
7,2500,14.0,0.016779730000000104,"[1, 1, 0, 0, 0, 0, 0, 0]",geometric,0.1,0.99,0.001,0.09998313722972185,0.1,2500,
8,0,2.0,6.62319999999994e-05,"[1, 1, 0, 0, 1, 1, 1, 1]",exponential,0.1,,0.001,0.09999996688400549,0.1,2500,0.005
9,2500,14.0,0.01825206899999987,"[1, 1, 0, 0, 0, 0, 0, 0]",exponential,0.1,,0.001,0.09999087438190987,0.1,2500,0.005
10,0,2.0,7.308599999999998e-05,"[1, 1, 0, 0, 1, 1, 1, 1]",arithmetic,0.1,0.0001,0.001,0.0999999926914,0.1,2500,
11,2500,14.0,0.018879033000000156,"[1, 1, 0, 0, 0, 0, 0, 0]",arithmetic,0.1,0.0001,0.001,0.09999811209670001,0.1,2500,
12,0,2.0,6.803899999985319e-05,"[1, 1, 0, 0, 1, 1, 1, 1]",geometric,0.5,0.99,0.001,0.49999965809271635,0.5,2500,
13,2500,14.0,0.020120772999999925,"[1, 1, 0, 0, 0, 0, 0, 0]",geometric,0.5,0.99,0.001,0.4998988999594552,0.5,2500,
14,0,2.0,6.276999999998978e-05,"[1, 1, 0, 0, 1, 1, 1, 1]",exponential,0.5,,0.001,0.49999984307502465,0.5,2500,0.005
15,2500,14.0,0.02189790200000008,"[1, 1, 0, 0, 0, 0, 0, 0]",exponential,0.5,,0.001,0.4999452582418788,0.5,2500,0.005
16,0,2.0,6.65859999999796e-05,"[1, 1, 0, 0, 1, 1, 1, 1]",arithmetic,0.5,0.0001,0.001,0.4999999933414,0.5,2500,
