,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.024377950000001647,22.0,500,0.1,25
1,1,0.07918952200000007,26.0,500,0.1,25
2,2,0.12577455400000304,26.0,500,0.1,25
3,3,0.17141915700000254,26.0,500,0.1,25
4,4,0.2153851739999979,26.0,500,0.1,25
5,5,0.259698905999997,26.0,500,0.1,25
6,6,0.30839448399999725,27.0,500,0.1,25
7,7,0.35360707899999966,27.0,500,0.1,25
8,8,0.40408803599999743,27.0,500,0.1,25
9,9,0.44844799999999907,27.0,500,0.1,25
10,10,0.4930680299999963,27.0,500,0.1,25
11,11,0.5374775299999968,27.0,500,0.1,25
12,12,0.5875135989999976,27.0,500,0.1,25
13,13,0.6360562939999994,27.0,500,0.1,25
14,14,0.680439094999997,27.0,500,0.1,25
15,15,0.726209775000001,27.0,500,0.1,25
16,16,0.773245584999998,27.0,500,0.1,25
17,17,0.8188362730000023,27.0,500,0.1,25
18,18,0.862878834,28.0,500,0.1,25
19,19,0.9108615439999994,28.0,500,0.1,25
20,20,0.956323636999997,28.0,500,0.1,25
21,21,1.0006344529999964,28.0,500,0.1,25
22,22,1.0450575930000028,28.0,500,0.1,25
23,23,1.0919315820000008,28.0,500,0.1,25
24,24,1.140824391999999,28.0,500,0.1,25
25,25,1.185260360000001,28.0,500,0.1,25
26,26,0.026481326999999055,22.0,500,0.25,25
27,27,0.08278224000000023,26.0,500,0.25,25
28,28,0.12791440699999868,26.0,500,0.25,25
29,29,0.17358453499999627,26.0,500,0.25,25
30,30,0.2192669479999978,27.0,500,0.25,25
31,31,0.2667418690000005,27.0,500,0.25,25
32,32,0.3109511169999948,27.0,500,0.25,25
33,33,0.3552223579999989,27.0,500,0.25,25
34,34,0.4005241220000002,27.0,500,0.25,25
35,35,0.44864991999999404,27.0,500,0.25,25
36,36,0.49524101899999806,27.0,500,0.25,25
37,37,0.5389112749999967,27.0,500,0.25,25
38,38,0.5830396869999959,27.0,500,0.25,25
39,39,0.6281264809999954,27.0,500,0.25,25
40,40,0.6737553159999976,27.0,500,0.25,25
41,41,0.7235807169999973,27.0,500,0.25,25
42,42,0.7697875879999998,27.0,500,0.25,25
43,43,0.8193408229999974,27.0,500,0.25,25
44,44,0.8656802249999984,27.0,500,0.25,25
45,45,0.9121047109999978,27.0,500,0.25,25
46,46,0.956249875999994,27.0,500,0.25,25
47,47,1.0036557229999943,27.0,500,0.25,25
48,48,1.0496258209999993,27.0,500,0.25,25
49,49,1.09504716,27.0,500,0.25,25
50,50,1.1404696399999992,27.0,500,0.25,25
51,51,0.02657081099999914,22.0,500,0.5,25
52,52,0.08323695600000036,26.0,500,0.5,25
53,53,0.12974360999999845,26.0,500,0.5,25
54,54,0.177669084999998,26.0,500,0.5,25
55,55,0.22439840999999916,26.0,500,0.5,25
56,56,0.2720430130000011,26.0,500,0.5,25
57,57,0.3172257310000006,26.0,500,0.5,25
58,58,0.36497747500000344,26.0,500,0.5,25
59,59,0.41089953800000245,26.0,500,0.5,25
60,60,0.4552710540000007,26.0,500,0.5,25
61,61,0.5009534500000044,26.0,500,0.5,25
62,62,0.5542550150000025,26.0,500,0.5,25
63,63,0.599692957000002,26.0,500,0.5,25
64,64,0.6442855620000003,26.0,500,0.5,25
65,65,0.6891402860000042,26.0,500,0.5,25
66,66,0.7371883369999992,27.0,500,0.5,25
67,67,0.7876409329999987,27.0,500,0.5,25
68,68,0.8335787359999998,27.0,500,0.5,25
69,69,0.880070393000004,27.0,500,0.5,25
70,70,0.926596828000001,28.0,500,0.5,25
71,71,0.970975205000002,28.0,500,0.5,25
72,72,1.0182163910000028,28.0,500,0.5,25
73,73,1.069019836999999,28.0,500,0.5,25
74,74,1.1148137429999991,28.0,500,0.5,25
75,75,1.1609318129999977,28.0,500,0.5,25
76,76,1.2079276649999997,28.0,500,0.5,25
77,77,0.025270023999993896,22.0,500,0.75,25
78,78,0.08174341399999463,26.0,500,0.75,25
79,79,0.13058783599999657,26.0,500,0.75,25
80,80,0.17875445199999973,26.0,500,0.75,25
81,81,0.22545417999999984,26.0,500,0.75,25
82,82,0.2709552500000001,26.0,500,0.75,25
83,83,0.316218549999995,26.0,500,0.75,25
84,84,0.36971698600000025,26.0,500,0.75,25
85,85,0.41781988299999995,26.0,500,0.75,25
86,86,0.4642472629999972,26.0,500,0.75,25
87,87,0.5139037629999947,26.0,500,0.75,25
88,88,0.5675048959999955,27.0,500,0.75,25
89,89,0.6190118429999956,27.0,500,0.75,25
90,90,0.6769406929999988,27.0,500,0.75,25
91,91,0.7344270319999993,27.0,500,0.75,25
92,92,0.7818874379999983,27.0,500,0.75,25
93,93,0.8355204279999953,27.0,500,0.75,25
94,94,0.8921382320000006,27.0,500,0.75,25
95,95,0.9398323559999966,27.0,500,0.75,25
96,96,0.9871812799999944,27.0,500,0.75,25
97,97,1.0362582219999936,27.0,500,0.75,25
98,98,1.0864337469999938,27.0,500,0.75,25
99,99,1.139966563999998,27.0,500,0.75,25
100,100,1.187520266,27.0,500,0.75,25
101,101,1.239940501999996,27.0,500,0.75,25
102,102,1.2889374009999983,27.0,500,0.75,25
103,103,0.0629516640000034,22.0,1000,0.1,25
104,104,0.17324333599999875,26.0,1000,0.1,25
105,105,0.2725671490000039,26.0,1000,0.1,25
106,106,0.37157644300000214,26.0,1000,0.1,25
107,107,0.472714639000003,27.0,1000,0.1,25
108,108,0.5684327700000011,27.0,1000,0.1,25
109,109,0.6648067449999999,27.0,1000,0.1,25
110,110,0.7618670539999997,27.0,1000,0.1,25
111,111,0.8630756570000031,27.0,1000,0.1,25
112,112,0.9588130839999991,28.0,1000,0.1,25
113,113,1.0585788500000035,28.0,1000,0.1,25
114,114,1.156568243999999,28.0,1000,0.1,25
115,115,1.2495154320000026,28.0,1000,0.1,25
116,116,1.3467061879999989,28.0,1000,0.1,25
117,117,1.4437707129999993,28.0,1000,0.1,25
118,118,1.5409774060000032,28.0,1000,0.1,25
119,119,1.6398479380000026,28.0,1000,0.1,25
120,120,1.7374742129999987,28.0,1000,0.1,25
121,121,1.840228909000004,28.0,1000,0.1,25
122,122,1.9363960049999989,28.0,1000,0.1,25
123,123,2.033008493000004,28.0,1000,0.1,25
124,124,2.131984482,28.0,1000,0.1,25
125,125,2.230083106000002,28.0,1000,0.1,25
126,126,2.3282441810000023,28.0,1000,0.1,25
127,127,2.4246500650000016,28.0,1000,0.1,25
128,128,2.522352757,28.0,1000,0.1,25
129,129,0.05158548899999715,22.0,1000,0.25,25
130,130,0.1564157789999996,26.0,1000,0.25,25
131,131,0.2522270930000019,26.0,1000,0.25,25
132,132,0.3483220939999967,26.0,1000,0.25,25
133,133,0.4399502979999994,26.0,1000,0.25,25
134,134,0.5399687569999969,26.0,1000,0.25,25
135,135,0.637764580999999,26.0,1000,0.25,25
136,136,0.7348002029999989,27.0,1000,0.25,25
137,137,0.8300739259999972,27.0,1000,0.25,25
138,138,0.9218065000000024,28.0,1000,0.25,25
139,139,1.017444329,28.0,1000,0.25,25
140,140,1.110409183999998,28.0,1000,0.25,25
141,141,1.201260212000001,28.0,1000,0.25,25
142,142,1.3056255030000017,28.0,1000,0.25,25
143,143,1.415222374999999,28.0,1000,0.25,25
144,144,1.5234999799999969,28.0,1000,0.25,25
145,145,1.6287510060000017,28.0,1000,0.25,25
146,146,1.7340916429999993,28.0,1000,0.25,25
147,147,1.8421679220000016,28.0,1000,0.25,25
148,148,1.945972237999996,28.0,1000,0.25,25
149,149,2.050552224999997,28.0,1000,0.25,25
150,150,2.1484880789999963,28.0,1000,0.25,25
151,151,2.2518922040000007,28.0,1000,0.25,25
152,152,2.3618585429999968,28.0,1000,0.25,25
153,153,2.4596871239999984,28.0,1000,0.25,25
154,154,2.5611563709999956,28.0,1000,0.25,25
155,155,0.05097227799999615,22.0,1000,0.5,25
156,156,0.15954226399999527,26.0,1000,0.5,25
157,157,0.2614337679999963,26.0,1000,0.5,25
158,158,0.35844313699999475,26.0,1000,0.5,25
159,159,0.4558088009999963,26.0,1000,0.5,25
160,160,0.5513750529999939,26.0,1000,0.5,25
161,161,0.6493127369999954,27.0,1000,0.5,25
162,162,0.749167694999997,27.0,1000,0.5,25
163,163,0.850760171999994,27.0,1000,0.5,25
164,164,0.9496885569999947,27.0,1000,0.5,25
165,165,1.0523409109999946,27.0,1000,0.5,25
166,166,1.153462531999999,27.0,1000,0.5,25
167,167,1.2538406769999995,27.0,1000,0.5,25
168,168,1.351246857999996,27.0,1000,0.5,25
169,169,1.4502452809999937,27.0,1000,0.5,25
170,170,1.5501170919999936,27.0,1000,0.5,25
171,171,1.6503456069999984,27.0,1000,0.5,25
172,172,1.7510452199999946,28.0,1000,0.5,25
173,173,1.8476903069999935,28.0,1000,0.5,25
174,174,1.9485046119999936,28.0,1000,0.5,25
175,175,2.0507767799999996,28.0,1000,0.5,25
176,176,2.150451599,28.0,1000,0.5,25
177,177,2.2506032329999996,28.0,1000,0.5,25
178,178,2.350324508,28.0,1000,0.5,25
179,179,2.448347657999996,28.0,1000,0.5,25
180,180,2.550089137999997,28.0,1000,0.5,25
181,181,0.05246874399999513,22.0,1000,0.75,25
182,182,0.16483620999999715,26.0,1000,0.75,25
183,183,0.2667215819999953,26.0,1000,0.75,25
184,184,0.36843710800000196,26.0,1000,0.75,25
185,185,0.4727563689999954,26.0,1000,0.75,25
186,186,0.5731975079999998,27.0,1000,0.75,25
187,187,0.678176588999996,27.0,1000,0.75,25
188,188,0.7787010730000006,27.0,1000,0.75,25
189,189,0.8788604559999982,27.0,1000,0.75,25
190,190,0.9787163809999981,27.0,1000,0.75,25
191,191,1.0779259110000012,27.0,1000,0.75,25
192,192,1.180905875999997,27.0,1000,0.75,25
193,193,1.2833490159999954,27.0,1000,0.75,25
194,194,1.383215475,27.0,1000,0.75,25
195,195,1.4832053310000006,27.0,1000,0.75,25
196,196,1.5837455439999957,27.0,1000,0.75,25
197,197,1.6938257819999976,27.0,1000,0.75,25
198,198,1.8068163169999991,27.0,1000,0.75,25
199,199,1.9161803880000008,28.0,1000,0.75,25
200,200,2.026661312999998,28.0,1000,0.75,25
201,201,2.1340851610000016,28.0,1000,0.75,25
202,202,2.240884383000001,28.0,1000,0.75,25
203,203,2.3417698669999965,28.0,1000,0.75,25
204,204,2.440283367999996,28.0,1000,0.75,25
205,205,2.5407029379999955,28.0,1000,0.75,25
206,206,2.642132646999997,28.0,1000,0.75,25
207,207,0.10445953099999628,22.0,2000,0.1,25
208,208,0.32136442299999857,26.0,2000,0.1,25
209,209,0.5384680250000002,28.0,2000,0.1,25
210,210,0.7492790789999972,28.0,2000,0.1,25
211,211,0.9660021389999969,28.0,2000,0.1,25
212,212,1.1930728409999958,28.0,2000,0.1,25
213,213,1.4302159900000007,28.0,2000,0.1,25
214,214,1.6410118299999965,28.0,2000,0.1,25
215,215,1.8571791729999987,28.0,2000,0.1,25
216,216,2.068638761999999,28.0,2000,0.1,25
217,217,2.2821468429999996,28.0,2000,0.1,25
218,218,2.495906912999999,28.0,2000,0.1,25
219,219,2.702464252999995,28.0,2000,0.1,25
220,220,2.9178022179999985,28.0,2000,0.1,25
221,221,3.1354365089999945,28.0,2000,0.1,25
222,222,3.342314211999998,28.0,2000,0.1,25
223,223,3.551313010000001,28.0,2000,0.1,25
224,224,3.7533318579999957,28.0,2000,0.1,25
225,225,3.955096108999996,28.0,2000,0.1,25
226,226,4.161226479,28.0,2000,0.1,25
227,227,4.378240818999998,28.0,2000,0.1,25
228,228,4.578880572999999,28.0,2000,0.1,25
229,229,4.787167627999999,28.0,2000,0.1,25
230,230,0.10269884800000284,22.0,2000,0.25,25
231,231,0.31296321800000015,26.0,2000,0.25,25
232,232,0.530392612,27.0,2000,0.25,25
233,233,0.7382011380000009,27.0,2000,0.25,25
234,234,0.9492755200000005,27.0,2000,0.25,25
235,235,1.1540207740000028,27.0,2000,0.25,25
236,236,1.361044912000004,27.0,2000,0.25,25
237,237,1.564980951999999,27.0,2000,0.25,25
238,238,1.7695486360000032,27.0,2000,0.25,25
239,239,1.9844521260000008,27.0,2000,0.25,25
240,240,2.199180310999999,27.0,2000,0.25,25
241,241,2.411702120000001,27.0,2000,0.25,25
242,242,2.6253616750000006,27.0,2000,0.25,25
243,243,2.8400854190000047,27.0,2000,0.25,25
244,244,3.0519963850000025,28.0,2000,0.25,25
245,245,3.2603388190000047,28.0,2000,0.25,25
246,246,3.4751694010000023,28.0,2000,0.25,25
247,247,3.7002065970000046,28.0,2000,0.25,25
248,248,3.915434883000003,28.0,2000,0.25,25
249,249,4.128920464000004,28.0,2000,0.25,25
250,250,4.329597635000006,28.0,2000,0.25,25
251,251,4.535643195000006,28.0,2000,0.25,25
252,252,4.740450019000008,28.0,2000,0.25,25
253,253,4.947021625000005,28.0,2000,0.25,25
254,254,5.157772073000004,28.0,2000,0.25,25
255,255,5.380346834000008,28.0,2000,0.25,25
256,256,0.1008675100000005,22.0,2000,0.5,25
257,257,0.3220601670000036,27.0,2000,0.5,25
258,258,0.5367880009999908,27.0,2000,0.5,25
259,259,0.7569288569999912,27.0,2000,0.5,25
