,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,22.0,0.024377950000001647,"[0, 0, 3, 7, 7, 7, 0, 2]",500,0.1,25
1,25,28.0,1.185260360000001,"[4, 1, 7, 0, 3, 6, 2, 5]",500,0.1,25
2,0,22.0,0.026481326999999055,"[0, 0, 3, 7, 7, 7, 0, 2]",500,0.25,25
3,25,27.0,1.1404696399999992,"[0, 6, 3, 7, 4, 1, 5, 2]",500,0.25,25
4,0,22.0,0.02657081099999914,"[0, 0, 3, 7, 7, 7, 0, 2]",500,0.5,25
5,25,28.0,1.2079276649999997,"[5, 2, 0, 7, 3, 1, 6, 4]",500,0.5,25
6,0,22.0,0.025270023999993896,"[0, 0, 3, 7, 7, 7, 0, 2]",500,0.75,25
7,25,27.0,1.2889374009999983,"[4, 2, 5, 6, 1, 7, 0, 3]",500,0.75,25
8,0,22.0,0.0629516640000034,"[0, 0, 3, 7, 7, 7, 0, 2]",1000,0.1,25
9,25,28.0,2.522352757,"[2, 5, 3, 1, 7, 4, 6, 0]",1000,0.1,25
10,0,22.0,0.05158548899999715,"[0, 0, 3, 7, 7, 7, 0, 2]",1000,0.25,25
11,25,28.0,2.5611563709999956,"[2, 0, 6, 4, 7, 1, 3, 5]",1000,0.25,25
12,0,22.0,0.05097227799999615,"[0, 0, 3, 7, 7, 7, 0, 2]",1000,0.5,25
13,25,28.0,2.550089137999997,"[6, 3, 1, 4, 7, 0, 2, 5]",1000,0.5,25
14,0,22.0,0.05246874399999513,"[0, 0, 3, 7, 7, 7, 0, 2]",1000,0.75,25
15,25,28.0,2.642132646999997,"[3, 0, 4, 7, 1, 6, 2, 5]",1000,0.75,25
16,0,22.0,0.10445953099999628,"[0, 0, 3, 7, 7, 7, 0, 2]",2000,0.1,25
17,25,28.0,4.787167627999999,"[7, 2, 0, 5, 1, 4, 6, 3]",2000,0.1,25
18,0,22.0,0.10269884800000284,"[0, 0, 3, 7, 7, 7, 0, 2]",2000,0.25,25
19,25,28.0,5.380346834000008,"[3, 5, 7, 2, 0, 6, 4, 1]",2000,0.25,25
20,0,22.0,0.1008675100000005,"[0, 0, 3, 7, 7, 7, 0, 2]",2000,0.5,25
21,25,28.0,5.5408782599999995,"[3, 1, 7, 4, 6, 0, 2, 5]",2000,0.5,25
22,0,22.0,0.10316985199999351,"[0, 0, 3, 7, 7, 7, 0, 2]",2000,0.75,25
23,25,28.0,4.899071503999991,"[4, 6, 1, 3, 7, 0, 2, 5]",2000,0.75,25
24,0,22.0,0.1493171659999888,"[0, 0, 3, 7, 7, 7, 0, 2]",3000,0.1,25
25,25,28.0,8.470229278999994,"[5, 2, 0, 7, 3, 1, 6, 4]",3000,0.1,25
26,0,22.0,0.14610946000000524,"[0, 0, 3, 7, 7, 7, 0, 2]",3000,0.25,25
27,25,28.0,8.673759634999996,"[2, 5, 3, 0, 7, 4, 6, 1]",3000,0.25,25
28,0,22.0,0.14618462300001056,"[0, 0, 3, 7, 7, 7, 0, 2]",3000,0.5,25
29,25,28.0,8.438441638,"[2, 5, 3, 1, 7, 4, 6, 0]",3000,0.5,25
30,0,22.0,0.14122173299999474,"[0, 0, 3, 7, 7, 7, 0, 2]",3000,0.75,25
31,25,28.0,8.716556511999997,"[1, 7, 5, 0, 2, 4, 6, 3]",3000,0.75,25
