,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,22.0,0.05317197699999987,"[0, 0, 3, 7, 7, 7, 0, 2]",True,1000,0.05,25
1,25,28.0,1.4667508560000009,"[3.0, 0.0, 4.0, 7.0, 1.0, 6.0, 2.0, 5.0]",True,1000,0.05,25
2,0,22.0,0.048540299000000786,"[0, 0, 3, 7, 7, 7, 0, 2]",True,1000,0.1,25
3,25,28.0,1.4590454659999992,"[1.0, 3.0, 5.0, 7.0, 2.0, 0.0, 6.0, 4.0]",True,1000,0.1,25
4,0,22.0,0.05539545999999973,"[0, 0, 3, 7, 7, 7, 0, 2]",True,1000,0.15,25
5,25,28.0,1.5636922099999992,"[3.0, 5.0, 7.0, 2.0, 0.0, 6.0, 4.0, 1.0]",True,1000,0.15,25
6,0,22.0,0.05784545100000038,"[0, 0, 3, 7, 7, 7, 0, 2]",True,1000,0.2,25
7,25,28.0,1.5758200010000003,"[3.0, 5.0, 7.0, 2.0, 0.0, 6.0, 4.0, 1.0]",True,1000,0.2,25
8,0,22.0,0.10457549200000038,"[0, 0, 3, 7, 7, 7, 0, 2]",True,2000,0.05,25
9,25,28.0,2.8838228200000007,"[5.0, 2.0, 6.0, 3.0, 0.0, 7.0, 1.0, 4.0]",True,2000,0.05,25
10,0,22.0,0.10354739499999965,"[0, 0, 3, 7, 7, 7, 0, 2]",True,2000,0.1,25
11,25,28.0,2.748917775999999,"[3.0, 5.0, 0.0, 4.0, 1.0, 7.0, 2.0, 6.0]",True,2000,0.1,25
12,0,22.0,0.10452102600000046,"[0, 0, 3, 7, 7, 7, 0, 2]",True,2000,0.15,25
13,25,28.0,2.7244435510000002,"[2.0, 5.0, 1.0, 4.0, 7.0, 0.0, 6.0, 3.0]",True,2000,0.15,25
14,0,22.0,0.09814831699999971,"[0, 0, 3, 7, 7, 7, 0, 2]",True,2000,0.2,25
15,25,28.0,2.6661414569999984,"[2.0, 5.0, 1.0, 4.0, 7.0, 0.0, 6.0, 3.0]",True,2000,0.2,25
16,0,22.0,0.15351510900000065,"[0, 0, 3, 7, 7, 7, 0, 2]",True,3000,0.05,25
17,25,28.0,3.9999024269999985,"[2.0, 5.0, 3.0, 0.0, 7.0, 4.0, 6.0, 1.0]",True,3000,0.05,25
18,0,22.0,0.14722847299999842,"[0, 0, 3, 7, 7, 7, 0, 2]",True,3000,0.1,25
19,25,28.0,3.914242822000002,"[5.0, 2.0, 0.0, 7.0, 4.0, 1.0, 3.0, 6.0]",True,3000,0.1,25
20,0,22.0,0.14326976599999597,"[0, 0, 3, 7, 7, 7, 0, 2]",True,3000,0.15,25
21,25,28.0,3.8675306709999973,"[4.0, 0.0, 3.0, 5.0, 7.0, 1.0, 6.0, 2.0]",True,3000,0.15,25
22,0,22.0,0.1520293259999974,"[0, 0, 3, 7, 7, 7, 0, 2]",True,3000,0.2,25
23,25,28.0,3.759141935999999,"[3.0, 6.0, 0.0, 7.0, 4.0, 1.0, 5.0, 2.0]",True,3000,0.2,25
