,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,22.0,0.0001052740000062613,"[0, 0, 3, 7, 7, 7, 0, 2]",10,2500,0
1,2500,27.0,0.02120343900000421,"[5, 1, 6, 4, 7, 7, 0, 2]",10,2500,0
2,0,20.0,0.02813342500000715,"[3, 6, 7, 6, 2, 4, 7, 5]",10,2500,1
3,2500,26.0,0.062216051000007155,"[3, 6, 6, 1, 2, 0, 7, 4]",10,2500,1
4,0,22.0,0.0725234380000046,"[4, 5, 1, 0, 2, 0, 7, 4]",10,2500,2
5,2500,26.0,0.11748669800000755,"[4, 1, 5, 0, 6, 0, 7, 1]",10,2500,2
6,0,25.0,0.12803511799999967,"[1, 3, 7, 6, 3, 0, 4, 1]",10,2500,3
7,2500,27.0,0.18115781299999867,"[1, 5, 2, 6, 3, 0, 4, 1]",10,2500,3
8,0,21.0,0.1940397700000034,"[6, 2, 0, 6, 1, 2, 4, 4]",10,2500,4
9,2500,26.0,0.2415032580000087,"[6, 3, 0, 6, 1, 2, 5, 7]",10,2500,4
10,0,20.0,0.25439550100000474,"[2, 5, 3, 4, 5, 2, 5, 1]",10,2500,5
11,2500,26.0,0.30403919200000473,"[0, 4, 3, 7, 2, 2, 5, 1]",10,2500,5
12,0,18.0,0.3185020670000114,"[1, 4, 5, 1, 7, 5, 7, 5]",10,2500,6
13,2500,27.0,0.3842444140000083,"[1, 3, 6, 0, 7, 4, 2, 5]",10,2500,6
14,0,22.0,0.4008654699999994,"[5, 5, 2, 7, 0, 7, 7, 1]",10,2500,7
15,2500,28.0,0.48783043500000645,"[2, 5, 1, 6, 0, 3, 7, 4]",10,2500,7
16,0,12.0,0.5056426130000062,"[3, 7, 6, 3, 4, 3, 3, 7]",10,2500,8
17,2500,27.0,0.5906727800000056,"[4, 0, 5, 2, 6, 1, 3, 7]",10,2500,8
18,0,20.0,0.6099638430000027,"[4, 6, 5, 3, 7, 2, 7, 4]",10,2500,9
19,2500,27.0,0.7038286770000042,"[2, 6, 5, 3, 0, 4, 7, 1]",10,2500,9
20,0,22.0,0.7261862269999995,"[4, 0, 2, 3, 6, 1, 0, 5]",10,2500,10
21,2500,28.0,0.8141564290000076,"[4, 0, 7, 3, 1, 6, 2, 5]",10,2500,10
