,Iteration,Time,Fitness,Temperature,max_iters
0,0,9.049400000016306e-05,23.0,0.05,2500
1,1,0.007837910999999753,23.0,0.05,2500
2,2,0.007937822999999788,23.0,0.05,2500
3,3,0.008106718000000068,24.0,0.05,2500
4,4,0.008228240999999858,24.0,0.05,2500
5,5,0.008333117999999917,24.0,0.05,2500
6,6,0.008420966999999724,24.0,0.05,2500
7,7,0.008494278000000133,24.0,0.05,2500
8,8,0.008564457999999942,24.0,0.05,2500
9,9,0.00867981399999973,24.0,0.05,2500
10,10,0.008822907999999963,24.0,0.05,2500
11,11,0.008892942999999764,24.0,0.05,2500
12,12,0.008966618999999731,24.0,0.05,2500
13,13,0.009037763999999893,24.0,0.05,2500
14,14,0.009106712999999989,24.0,0.05,2500
15,15,0.009176082999999835,24.0,0.05,2500
16,16,0.009243754999999965,24.0,0.05,2500
17,17,0.009310976000000082,24.0,0.05,2500
18,18,0.0094367179999999,25.0,0.05,2500
19,19,0.009518101999999917,25.0,0.05,2500
20,20,0.009597893000000024,25.0,0.05,2500
21,21,0.009673680999999767,25.0,0.05,2500
22,22,0.009755701000000006,25.0,0.05,2500
23,23,0.009849341999999872,25.0,0.05,2500
24,24,0.009970827000000071,25.0,0.05,2500
25,25,0.010045195000000007,25.0,0.05,2500
26,26,0.010120281999999925,25.0,0.05,2500
27,27,0.010193424999999756,25.0,0.05,2500
28,28,0.010265976999999982,25.0,0.05,2500
29,29,0.010422767999999749,25.0,0.05,2500
30,30,0.010545291000000123,25.0,0.05,2500
31,31,0.010619648000000037,25.0,0.05,2500
32,32,0.010693280999999999,25.0,0.05,2500
33,33,0.010795080999999929,25.0,0.05,2500
34,34,0.010874671999999919,25.0,0.05,2500
35,35,0.010952516999999773,25.0,0.05,2500
36,36,0.011074680999999753,25.0,0.05,2500
37,37,0.011189958000000111,25.0,0.05,2500
38,38,0.011306325000000061,26.0,0.05,2500
39,39,0.01138200300000003,26.0,0.05,2500
40,40,0.011501484000000062,26.0,0.05,2500
41,41,0.011572880999999757,26.0,0.05,2500
42,42,0.01164797300000009,26.0,0.05,2500
43,43,0.011723122999999891,26.0,0.05,2500
44,44,0.011841503999999947,26.0,0.05,2500
45,45,0.01191448099999981,26.0,0.05,2500
46,46,0.01198714600000006,26.0,0.05,2500
47,47,0.01205684199999979,26.0,0.05,2500
48,48,0.012134705999999884,26.0,0.05,2500
49,49,0.012207687000000078,26.0,0.05,2500
50,50,0.012277072999999916,26.0,0.05,2500
51,51,0.012351588000000024,26.0,0.05,2500
52,52,0.012425751999999957,26.0,0.05,2500
53,53,0.01250270699999989,26.0,0.05,2500
54,54,0.012576483000000138,26.0,0.05,2500
55,55,0.012648258000000023,26.0,0.05,2500
56,56,0.01276542100000011,26.0,0.05,2500
57,57,0.012837747999999927,26.0,0.05,2500
58,58,0.01290962200000001,26.0,0.05,2500
59,59,0.012980559999999919,26.0,0.05,2500
60,60,0.013054883999999767,26.0,0.05,2500
61,61,0.013129485999999968,26.0,0.05,2500
62,62,0.013200685999999795,26.0,0.05,2500
63,63,0.013316938,26.0,0.05,2500
64,64,0.013388120999999753,26.0,0.05,2500
65,65,0.013459924999999817,26.0,0.05,2500
66,66,0.013531012000000064,26.0,0.05,2500
67,67,0.013607394000000106,26.0,0.05,2500
68,68,0.01368051399999981,26.0,0.05,2500
69,69,0.013796547999999742,26.0,0.05,2500
70,70,0.01391859300000009,26.0,0.05,2500
71,71,0.013992253000000066,26.0,0.05,2500
72,72,0.01406354700000012,26.0,0.05,2500
73,73,0.014135226000000056,26.0,0.05,2500
74,74,0.014207438999999766,26.0,0.05,2500
75,75,0.01428446300000008,26.0,0.05,2500
76,76,0.014356743000000005,26.0,0.05,2500
77,77,0.014429567999999726,26.0,0.05,2500
78,78,0.014500839999999737,26.0,0.05,2500
79,79,0.014574505999999765,26.0,0.05,2500
80,80,0.014690337999999858,26.0,0.05,2500
81,81,0.014762511999999894,26.0,0.05,2500
82,82,0.014834571999999824,26.0,0.05,2500
83,83,0.014953379000000044,26.0,0.05,2500
84,84,0.015027572999999794,26.0,0.05,2500
85,85,0.015101303999999871,26.0,0.05,2500
86,86,0.015173490000000012,26.0,0.05,2500
87,87,0.015244476999999979,26.0,0.05,2500
88,88,0.015316508999999812,26.0,0.05,2500
89,89,0.015398202000000083,26.0,0.05,2500
90,90,0.015515442999999962,26.0,0.05,2500
91,91,0.015592310000000165,26.0,0.05,2500
92,92,0.01566734099999989,26.0,0.05,2500
93,93,0.015788802999999962,26.0,0.05,2500
94,94,0.015865806999999954,26.0,0.05,2500
95,95,0.015950249999999944,26.0,0.05,2500
96,96,0.01607748599999992,26.0,0.05,2500
97,97,0.016150246000000035,26.0,0.05,2500
98,98,0.016224777999999773,26.0,0.05,2500
99,99,0.016303686000000095,26.0,0.05,2500
100,100,0.016380175999999746,26.0,0.05,2500
101,101,0.01645875299999977,26.0,0.05,2500
102,102,0.01653130600000008,26.0,0.05,2500
103,103,0.016602438000000053,26.0,0.05,2500
104,104,0.016681422,26.0,0.05,2500
105,105,0.01675234399999992,26.0,0.05,2500
106,106,0.016874510000000065,26.0,0.05,2500
107,107,0.016973762000000114,26.0,0.05,2500
108,108,0.017083721000000107,26.0,0.05,2500
