,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
0,0,23.0,9.049400000016306e-05,"[5, 3, 4, 0, 7, 1, 3, 5]",geometric,0.05,0.99,0.001,0.049999954525266045,0.05,2500,
1,2500,28.0,0.05972406199999991,"[6, 2, 7, 1, 4, 0, 5, 3]",geometric,0.05,0.99,0.001,0.049969996661524255,0.05,2500,
2,0,23.0,0.00014498200000012673,"[5, 3, 4, 0, 7, 1, 3, 5]",exponential,0.05,,0.001,0.04999996375451314,0.05,2500,0.005
3,2500,28.0,0.06232107599999992,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,0.05,,0.001,0.04998442215819571,0.05,2500,0.005
4,0,23.0,0.00010888999999991711,"[5, 3, 4, 0, 7, 1, 3, 5]",arithmetic,0.05,0.0001,0.001,0.049999989111,0.05,2500,
5,2500,28.0,0.06498537500000001,"[6, 2, 7, 1, 4, 0, 5, 3]",arithmetic,0.05,0.0001,0.001,0.0499935014625,0.05,2500,
6,0,23.0,9.117899999999679e-05,"[5, 3, 4, 0, 7, 1, 3, 5]",geometric,0.1,0.99,0.001,0.09999990836208472,0.1,2500,
7,2500,28.0,0.06579337799999996,"[6, 2, 7, 1, 4, 0, 5, 3]",geometric,0.1,0.99,0.001,0.09993389730288199,0.1,2500,
8,0,23.0,0.00013759000000002075,"[5, 3, 4, 0, 7, 1, 3, 5]",exponential,0.1,,0.001,0.09999993120502366,0.1,2500,0.005
9,2500,28.0,0.07483195799999987,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,0.1,,0.001,0.0999625910199045,0.1,2500,0.005
10,0,23.0,0.00015083200000010066,"[5, 3, 4, 0, 7, 1, 3, 5]",arithmetic,0.1,0.0001,0.001,0.09999998491680001,0.1,2500,
11,2500,28.0,0.06685790600000008,"[6, 2, 7, 1, 4, 0, 5, 3]",arithmetic,0.1,0.0001,0.001,0.09999331420940001,0.1,2500,
12,0,23.0,0.00016014800000041518,"[5, 3, 4, 0, 7, 1, 3, 5]",geometric,0.5,0.99,0.001,0.49999919523005454,0.5,2500,
13,2500,28.0,0.049703703000000043,"[3, 7, 0, 2, 5, 1, 6, 4]",geometric,0.5,0.99,0.001,0.4997502929202373,0.5,2500,
14,0,23.0,0.00021417300000026174,"[5, 3, 4, 0, 7, 1, 3, 5]",exponential,0.5,,0.001,0.4999994645677867,0.5,2500,0.005
