,Iteration,Time,Fitness,Temperature,max_iters
0,0,0.00015577899999996703,23.0,0.05,2500
1,1,0.009722867000000024,23.0,0.05,2500
2,2,0.009799895000000003,23.0,0.05,2500
3,3,0.009910161000000084,24.0,0.05,2500
4,4,0.009978186999999972,24.0,0.05,2500
5,5,0.010046518000000004,24.0,0.05,2500
6,6,0.010112592000000031,24.0,0.05,2500
7,7,0.010177788000000021,24.0,0.05,2500
8,8,0.010242778999999924,24.0,0.05,2500
9,9,0.010350190000000037,24.0,0.05,2500
10,10,0.010458214000000021,24.0,0.05,2500
11,11,0.01052481499999991,24.0,0.05,2500
12,12,0.010590749999999982,24.0,0.05,2500
13,13,0.010656535000000078,24.0,0.05,2500
14,14,0.010721387000000027,24.0,0.05,2500
15,15,0.010790142000000058,24.0,0.05,2500
16,16,0.010855857999999996,24.0,0.05,2500
17,17,0.01092115700000007,24.0,0.05,2500
18,18,0.011025693000000114,25.0,0.05,2500
19,19,0.011097447000000038,25.0,0.05,2500
20,20,0.011175519000000023,25.0,0.05,2500
21,21,0.01125061000000005,25.0,0.05,2500
22,22,0.011323790999999916,25.0,0.05,2500
23,23,0.011397963000000066,25.0,0.05,2500
24,24,0.01151747000000003,25.0,0.05,2500
25,25,0.01159596400000007,25.0,0.05,2500
26,26,0.011674418999999991,25.0,0.05,2500
27,27,0.01175295700000012,25.0,0.05,2500
28,28,0.011827266000000058,25.0,0.05,2500
29,29,0.011949610999999916,25.0,0.05,2500
30,30,0.012069125000000014,25.0,0.05,2500
31,31,0.012141820000000081,25.0,0.05,2500
32,32,0.012212793,25.0,0.05,2500
33,33,0.01228530800000005,25.0,0.05,2500
34,34,0.012358574000000067,25.0,0.05,2500
35,35,0.012433200000000033,25.0,0.05,2500
36,36,0.012549882000000068,25.0,0.05,2500
37,37,0.01266251499999993,25.0,0.05,2500
38,38,0.012772541999999998,26.0,0.05,2500
39,39,0.012841298999999973,26.0,0.05,2500
40,40,0.012950750000000122,26.0,0.05,2500
41,41,0.01301733099999991,26.0,0.05,2500
42,42,0.01308331000000007,26.0,0.05,2500
43,43,0.013151694999999908,26.0,0.05,2500
44,44,0.01326155700000009,26.0,0.05,2500
45,45,0.013348691000000024,26.0,0.05,2500
46,46,0.013419430000000121,26.0,0.05,2500
47,47,0.013508928000000031,26.0,0.05,2500
48,48,0.013579438000000055,26.0,0.05,2500
49,49,0.01364627499999993,26.0,0.05,2500
50,50,0.013713250000000121,26.0,0.05,2500
51,51,0.013784484999999957,26.0,0.05,2500
52,52,0.013852006000000028,26.0,0.05,2500
53,53,0.013921255999999937,26.0,0.05,2500
54,54,0.01398904600000006,26.0,0.05,2500
55,55,0.014059939000000021,26.0,0.05,2500
56,56,0.014177105999999995,26.0,0.05,2500
57,57,0.01425229700000008,26.0,0.05,2500
58,58,0.014327296000000045,26.0,0.05,2500
59,59,0.014400038000000004,26.0,0.05,2500
60,60,0.014496330000000057,26.0,0.05,2500
61,61,0.014570450000000124,26.0,0.05,2500
62,62,0.014640672999999937,26.0,0.05,2500
63,63,0.014755520000000022,26.0,0.05,2500
64,64,0.01482723500000005,26.0,0.05,2500
65,65,0.01494270700000011,26.0,0.05,2500
66,66,0.015014411000000116,26.0,0.05,2500
67,67,0.015104844999999978,26.0,0.05,2500
68,68,0.015177540000000045,26.0,0.05,2500
69,69,0.015294431999999913,26.0,0.05,2500
70,70,0.015430470999999946,26.0,0.05,2500
71,71,0.01550502499999995,26.0,0.05,2500
72,72,0.015645291000000006,26.0,0.05,2500
73,73,0.015736517999999977,26.0,0.05,2500
74,74,0.015805135999999997,26.0,0.05,2500
75,75,0.015883926000000104,26.0,0.05,2500
76,76,0.016019763999999936,26.0,0.05,2500
77,77,0.01614156000000011,26.0,0.05,2500
78,78,0.01628627700000007,26.0,0.05,2500
79,79,0.016375004999999998,26.0,0.05,2500
80,80,0.016501392999999975,26.0,0.05,2500
81,81,0.01657731100000004,26.0,0.05,2500
82,82,0.016650500000000124,26.0,0.05,2500
83,83,0.016788167999999937,26.0,0.05,2500
84,84,0.016877872000000016,26.0,0.05,2500
85,85,0.01696652199999993,26.0,0.05,2500
86,86,0.017055162999999984,26.0,0.05,2500
87,87,0.017182607999999933,26.0,0.05,2500
88,88,0.017289735000000084,26.0,0.05,2500
89,89,0.01739789699999994,26.0,0.05,2500
90,90,0.017514852999999997,26.0,0.05,2500
91,91,0.017586749999999984,26.0,0.05,2500
92,92,0.01766167399999996,26.0,0.05,2500
93,93,0.017797148999999957,26.0,0.05,2500
94,94,0.01786672300000003,26.0,0.05,2500
95,95,0.017937673000000043,26.0,0.05,2500
96,96,0.018050729999999904,26.0,0.05,2500
97,97,0.018122764999999985,26.0,0.05,2500
98,98,0.01819503999999994,26.0,0.05,2500
99,99,0.01826830700000004,26.0,0.05,2500
100,100,0.018339920000000065,26.0,0.05,2500
101,101,0.018410545000000056,26.0,0.05,2500
102,102,0.018480123000000015,26.0,0.05,2500
103,103,0.018548658999999912,26.0,0.05,2500
104,104,0.018618360000000056,26.0,0.05,2500
105,105,0.01870370599999993,26.0,0.05,2500
106,106,0.018815625000000002,26.0,0.05,2500
107,107,0.01889084800000007,26.0,0.05,2500
108,108,0.01896310400000001,26.0,0.05,2500
109,109,0.0190393390000001,26.0,0.05,2500
110,110,0.01911099499999991,26.0,0.05,2500
111,111,0.019183744000000003,26.0,0.05,2500
112,112,0.01925471199999995,26.0,0.05,2500
113,113,0.019372371,26.0,0.05,2500
114,114,0.019491458000000073,26.0,0.05,2500
115,115,0.01956672699999995,26.0,0.05,2500
116,116,0.019640477999999906,26.0,0.05,2500
117,117,0.01971447000000004,26.0,0.05,2500
118,118,0.01980450300000003,26.0,0.05,2500
119,119,0.01987830199999996,26.0,0.05,2500
120,120,0.01995059500000007,26.0,0.05,2500
121,121,0.020066275000000022,26.0,0.05,2500
122,122,0.020182382,26.0,0.05,2500
123,123,0.02025584700000005,26.0,0.05,2500
124,124,0.02032576499999994,26.0,0.05,2500
125,125,0.020397336999999904,26.0,0.05,2500
126,126,0.02047029999999994,26.0,0.05,2500
