,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
0,0,23.0,0.00015577899999996703,"[5, 3, 4, 0, 7, 1, 3, 5]",geometric,0.05,0.99,0.001,0.04999992171849784,0.05,2500,
1,2500,28.0,0.06159986000000006,"[6, 2, 7, 1, 4, 0, 5, 3]",geometric,0.05,0.99,0.001,0.049969054616044464,0.05,2500,
2,0,23.0,0.0001002289999998407,"[5, 3, 4, 0, 7, 1, 3, 5]",exponential,0.05,,0.001,0.049999974942756285,0.05,2500,0.005
3,2500,28.0,0.06131035200000001,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,0.05,,0.001,0.049984674761109495,0.05,2500,0.005
4,0,23.0,9.568199999998583e-05,"[5, 3, 4, 0, 7, 1, 3, 5]",arithmetic,0.05,0.0001,0.001,0.0499999904318,0.05,2500,
5,2500,28.0,0.06282793599999992,"[6, 2, 7, 1, 4, 0, 5, 3]",arithmetic,0.05,0.0001,0.001,0.0499937172064,0.05,2500,
6,0,23.0,0.00015010700000006594,"[5, 3, 4, 0, 7, 1, 3, 5]",geometric,0.1,0.99,0.001,0.0999998491375374,0.1,2500,
7,2500,28.0,0.06588966000000007,"[6, 2, 7, 1, 4, 0, 5, 3]",geometric,0.1,0.99,0.001,0.09993380060025046,0.1,2500,
8,0,23.0,0.00015555900000019385,"[5, 3, 4, 0, 7, 1, 3, 5]",exponential,0.1,,0.001,0.09999992222053025,0.1,2500,0.005
9,2500,28.0,0.07504143800000018,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,0.1,,0.001,0.0999624863191415,0.1,2500,0.005
10,0,23.0,0.00011077399999992465,"[5, 3, 4, 0, 7, 1, 3, 5]",arithmetic,0.1,0.0001,0.001,0.09999998892260001,0.1,2500,
11,2500,28.0,0.07141838400000022,"[6, 2, 7, 1, 4, 0, 5, 3]",arithmetic,0.1,0.0001,0.001,0.0999928581616,0.1,2500,
12,0,23.0,0.00011620099999998246,"[5, 3, 4, 0, 7, 1, 3, 5]",geometric,0.5,0.99,0.001,0.4999994160708027,0.5,2500,
13,2500,28.0,0.049226977999999644,"[3, 7, 0, 2, 5, 1, 6, 4]",geometric,0.5,0.99,0.001,0.4997526873527452,0.5,2500,
14,0,23.0,0.00010063999999987416,"[5, 3, 4, 0, 7, 1, 3, 5]",exponential,0.5,,0.001,0.4999997484000633,0.5,2500,0.005
15,2500,28.0,0.049778807000000036,"[3, 7, 0, 2, 5, 1, 6, 4]",exponential,0.5,,0.001,0.49987556846827536,0.5,2500,0.005
16,0,23.0,0.00011339799999987576,"[5, 3, 4, 0, 7, 1, 3, 5]",arithmetic,0.5,0.0001,0.001,0.4999999886602,0.5,2500,
