,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.7918833020000875,9.206,500,0.1,25
1,1,1.6065752460001477,11.951,500,0.1,25
2,2,2.405326913000181,11.952,500,0.1,25
3,3,3.211718810000093,11.952,500,0.1,25
4,4,4.02349369500007,11.952,500,0.1,25
5,5,4.850025573000039,11.952,500,0.1,25
6,6,5.656186699000045,11.952,500,0.1,25
7,7,6.460986315000127,11.952,500,0.1,25
8,8,7.257630839000058,11.952,500,0.1,25
9,9,8.05620452900007,11.952,500,0.1,25
10,10,8.863306066000177,11.952,500,0.1,25
11,11,9.657972180000115,11.952,500,0.1,25
12,12,10.462380171000177,11.952,500,0.1,25
13,13,11.271909214000061,11.952,500,0.1,25
14,14,12.082265586000176,11.952,500,0.1,25
15,15,12.889962167000022,11.952,500,0.1,25
16,16,13.699018617000092,11.952,500,0.1,25
17,17,14.504582097000139,11.952,500,0.1,25
18,18,15.320276387000149,11.952,500,0.1,25
19,19,16.102333443000134,11.952,500,0.1,25
20,20,16.879367078000087,11.952,500,0.1,25
21,21,17.68404300100019,11.952,500,0.1,25
22,22,18.462463913000192,11.952,500,0.1,25
23,23,0.7481940349998695,9.206,500,0.25,25
24,24,1.5479678279998552,11.951,500,0.25,25
25,25,2.3287863399998514,11.951,500,0.25,25
26,26,3.121104397999943,11.951,500,0.25,25
27,27,3.9281181499998183,11.951,500,0.25,25
28,28,4.729606382999918,11.951,500,0.25,25
29,29,5.5328137439998955,11.951,500,0.25,25
30,30,6.330446414999869,11.952,500,0.25,25
31,31,7.1573395389998495,11.952,500,0.25,25
32,32,7.967647325999906,11.952,500,0.25,25
33,33,8.80008094699997,11.952,500,0.25,25
34,34,9.60986720599999,11.952,500,0.25,25
35,35,10.409715761999905,11.952,500,0.25,25
36,36,11.186916485999973,11.952,500,0.25,25
37,37,11.990407198999947,11.952,500,0.25,25
38,38,12.791648512999927,11.952,500,0.25,25
39,39,13.583861426999874,11.952,500,0.25,25
40,40,14.388019743999848,11.952,500,0.25,25
41,41,15.19249591699986,11.952,500,0.25,25
42,42,16.014087087999997,11.952,500,0.25,25
43,43,16.81401856699995,11.952,500,0.25,25
44,44,17.601602804999857,11.952,500,0.25,25
45,45,18.40719120699987,11.952,500,0.25,25
46,46,19.217848022999988,11.952,500,0.25,25
47,47,20.034506215999954,11.952,500,0.25,25
48,48,20.83518398399997,11.952,500,0.25,25
49,49,0.7574083100000735,9.206,500,0.5,25
50,50,1.580296135000026,11.951,500,0.5,25
51,51,2.373751686000105,11.951,500,0.5,25
52,52,3.183334081000112,11.952,500,0.5,25
53,53,3.9940180730000066,11.952,500,0.5,25
54,54,4.780912064999939,11.952,500,0.5,25
55,55,5.6132149940001455,11.952,500,0.5,25
56,56,6.422217834000094,11.952,500,0.5,25
57,57,7.239869881999994,11.952,500,0.5,25
58,58,8.053782119000061,11.952,500,0.5,25
59,59,8.862007806000065,11.952,500,0.5,25
60,60,9.677562034999937,11.952,500,0.5,25
61,61,10.485800026000106,11.952,500,0.5,25
62,62,11.285426708999921,11.952,500,0.5,25
63,63,12.075931669000056,11.952,500,0.5,25
64,64,12.877719949000038,11.952,500,0.5,25
65,65,13.678945858000134,11.952,500,0.5,25
66,66,14.486790816999928,11.952,500,0.5,25
67,67,15.300736347000111,11.952,500,0.5,25
68,68,16.112193654000066,11.952,500,0.5,25
