,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,1.573661493000003,9.206,True,1000,0.05,25
1,1,3.623774673,11.952,True,1000,0.05,25
2,2,5.778977775000001,11.952,True,1000,0.05,25
3,3,7.942130704000007,11.952,True,1000,0.05,25
4,4,10.020269851999998,11.952,True,1000,0.05,25
5,5,12.108637330999997,11.952,True,1000,0.05,25
6,6,14.257464890000008,11.952,True,1000,0.05,25
7,7,16.470545015,11.952,True,1000,0.05,25
8,8,18.710425549999997,11.952,True,1000,0.05,25
9,9,20.948072445000008,11.952,True,1000,0.05,25
10,10,23.105246026000003,11.952,True,1000,0.05,25
11,11,25.28382151000001,11.952,True,1000,0.05,25
12,12,27.43125843700001,11.952,True,1000,0.05,25
13,13,29.570680835999994,11.952,True,1000,0.05,25
14,14,31.698981028999995,11.952,True,1000,0.05,25
15,15,33.85403757900001,11.952,True,1000,0.05,25
16,16,36.026113069999994,11.952,True,1000,0.05,25
17,17,38.16854921599999,11.952,True,1000,0.05,25
18,18,40.216511337,11.952,True,1000,0.05,25
19,19,42.283320313999994,11.952,True,1000,0.05,25
20,20,44.374769124,11.952,True,1000,0.05,25
21,21,46.449103961000006,11.952,True,1000,0.05,25
22,22,48.504266380999994,11.952,True,1000,0.05,25
23,23,50.55437412799999,11.952,True,1000,0.05,25
24,24,52.64046324900001,11.952,True,1000,0.05,25
25,25,54.705209009,11.952,True,1000,0.05,25
26,26,1.6246195589999957,9.206,True,1000,0.1,25
27,27,3.7042402820000007,11.952,True,1000,0.1,25
28,28,5.788052319999991,11.952,True,1000,0.1,25
29,29,7.837702753000002,11.952,True,1000,0.1,25
30,30,9.938185157999982,11.952,True,1000,0.1,25
31,31,11.973039071999978,11.952,True,1000,0.1,25
32,32,14.065757698999988,11.952,True,1000,0.1,25
33,33,16.117818666999995,11.952,True,1000,0.1,25
34,34,18.093731695999992,11.952,True,1000,0.1,25
35,35,20.098960207999994,11.952,True,1000,0.1,25
36,36,22.087911934000005,11.952,True,1000,0.1,25
37,37,24.146481308999995,11.952,True,1000,0.1,25
38,38,26.160588719999993,11.952,True,1000,0.1,25
39,39,28.18181661,11.952,True,1000,0.1,25
40,40,30.16905802299999,11.952,True,1000,0.1,25
41,41,32.13307335099998,11.952,True,1000,0.1,25
42,42,34.12574556199999,11.952,True,1000,0.1,25
43,43,36.112418676000004,11.952,True,1000,0.1,25
44,44,38.098594464,11.952,True,1000,0.1,25
45,45,40.11039691899998,11.952,True,1000,0.1,25
46,46,42.100381349,11.952,True,1000,0.1,25
47,47,44.100040474999986,11.952,True,1000,0.1,25
48,48,46.10404183699998,11.952,True,1000,0.1,25
49,49,48.06389718599999,11.952,True,1000,0.1,25
50,50,50.064131350999986,11.952,True,1000,0.1,25
51,51,52.076371617999996,11.952,True,1000,0.1,25
52,52,1.5911529619999953,9.206,True,1000,0.15,25
53,53,3.60615507899999,11.952,True,1000,0.15,25
54,54,5.577825985000004,11.952,True,1000,0.15,25
55,55,7.530740057999992,11.952,True,1000,0.15,25
56,56,9.490177872000004,11.952,True,1000,0.15,25
57,57,11.479507705999993,11.952,True,1000,0.15,25
58,58,13.47859378199999,11.952,True,1000,0.15,25
59,59,15.480500578000004,11.952,True,1000,0.15,25
60,60,17.427911438999985,11.952,True,1000,0.15,25
61,61,19.426711009,11.952,True,1000,0.15,25
62,62,21.395748016,11.952,True,1000,0.15,25
63,63,23.335261369999984,11.952,True,1000,0.15,25
64,64,25.268465993999996,11.952,True,1000,0.15,25
65,65,27.258014481999993,11.952,True,1000,0.15,25
66,66,29.225254696999997,11.952,True,1000,0.15,25
67,67,31.158851051,11.952,True,1000,0.15,25
68,68,33.118460088000006,11.952,True,1000,0.15,25
69,69,35.106334766,11.952,True,1000,0.15,25
70,70,37.095768569,11.952,True,1000,0.15,25
71,71,39.07961870599999,11.952,True,1000,0.15,25
72,72,41.031612035999984,11.952,True,1000,0.15,25
73,73,42.99563983599998,11.952,True,1000,0.15,25
74,74,44.981676811,11.952,True,1000,0.15,25
75,75,46.99262262800002,11.952,True,1000,0.15,25
76,76,48.97911126699998,11.952,True,1000,0.15,25
77,77,50.94047388200002,11.952,True,1000,0.15,25
78,78,1.5459378820000325,9.206,True,1000,0.2,25
79,79,3.52173585700001,11.952,True,1000,0.2,25
80,80,5.473680094000031,11.952,True,1000,0.2,25
81,81,7.424742474000027,11.952,True,1000,0.2,25
82,82,9.38462436399999,11.952,True,1000,0.2,25
83,83,11.383092480000016,11.952,True,1000,0.2,25
84,84,13.397853279000003,11.952,True,1000,0.2,25
85,85,15.349044546000016,11.952,True,1000,0.2,25
86,86,17.38159766000001,11.952,True,1000,0.2,25
87,87,19.391324950000012,11.952,True,1000,0.2,25
88,88,21.374599061000026,11.952,True,1000,0.2,25
89,89,23.363820345000022,11.952,True,1000,0.2,25
90,90,25.399023575,11.952,True,1000,0.2,25
91,91,27.44509248899999,11.952,True,1000,0.2,25
92,92,29.430450816000018,11.952,True,1000,0.2,25
93,93,31.405151579000005,11.952,True,1000,0.2,25
94,94,33.302610971000036,11.952,True,1000,0.2,25
95,95,35.237661876000004,11.952,True,1000,0.2,25
96,96,37.23734347499999,11.952,True,1000,0.2,25
97,97,39.290892980000024,11.952,True,1000,0.2,25
98,98,41.332648181000025,11.952,True,1000,0.2,25
99,99,43.396017312000026,11.952,True,1000,0.2,25
100,100,45.39818535200004,11.952,True,1000,0.2,25
101,101,47.43458156700001,11.952,True,1000,0.2,25
102,102,49.40846161000002,11.952,True,1000,0.2,25
103,103,51.40234042600002,11.952,True,1000,0.2,25
104,104,3.1315801580000198,9.206,True,2000,0.05,25
105,105,7.060557053000025,11.952,True,2000,0.05,25
106,106,11.111216071000001,11.952,True,2000,0.05,25
107,107,15.141023128000029,11.952,True,2000,0.05,25
108,108,19.157295094999995,11.952,True,2000,0.05,25
109,109,23.199254585999995,11.952,True,2000,0.05,25
110,110,27.160946609999996,11.952,True,2000,0.05,25
111,111,31.154119960999992,11.952,True,2000,0.05,25
112,112,35.104517681999994,11.952,True,2000,0.05,25
113,113,39.123725793000006,11.952,True,2000,0.05,25
114,114,43.29626297100003,11.952,True,2000,0.05,25
115,115,47.495528028000024,11.952,True,2000,0.05,25
116,116,51.751561974000026,11.952,True,2000,0.05,25
117,117,55.94007354500002,11.952,True,2000,0.05,25
118,118,59.974633487999995,11.952,True,2000,0.05,25
119,119,64.01988212700002,11.952,True,2000,0.05,25
120,120,68.03530257300002,11.952,True,2000,0.05,25
121,121,72.02779828400003,11.952,True,2000,0.05,25
122,122,76.04673667500003,11.952,True,2000,0.05,25
123,123,80.06308180600001,11.952,True,2000,0.05,25
124,124,84.04531570300003,11.952,True,2000,0.05,25
125,125,88.03587118500002,11.952,True,2000,0.05,25
126,126,92.01273085399998,11.952,True,2000,0.05,25
127,127,96.04033365999999,11.952,True,2000,0.05,25
128,128,100.02850919399998,11.952,True,2000,0.05,25
129,129,103.91377220100003,11.952,True,2000,0.05,25
130,130,3.2000440489999846,9.206,True,2000,0.1,25
131,131,7.222454440999968,11.952,True,2000,0.1,25
132,132,11.202969510999992,11.952,True,2000,0.1,25
133,133,15.242050749999976,11.952,True,2000,0.1,25
134,134,19.281982861000017,11.952,True,2000,0.1,25
135,135,23.34505491499999,11.952,True,2000,0.1,25
136,136,27.37805768300001,11.952,True,2000,0.1,25
137,137,31.339182505999986,11.952,True,2000,0.1,25
138,138,35.304719757999976,11.952,True,2000,0.1,25
139,139,39.270056537000016,11.952,True,2000,0.1,25
140,140,43.278531181999995,11.952,True,2000,0.1,25
141,141,47.29617354300001,11.952,True,2000,0.1,25
142,142,51.267811593999966,11.952,True,2000,0.1,25
143,143,55.28572034399997,11.952,True,2000,0.1,25
144,144,59.34379212799996,11.952,True,2000,0.1,25
145,145,63.34113125499999,11.952,True,2000,0.1,25
146,146,67.31138728299999,11.952,True,2000,0.1,25
147,147,71.27706111700002,11.952,True,2000,0.1,25
148,148,75.358428592,11.952,True,2000,0.1,25
149,149,79.62303476900001,11.952,True,2000,0.1,25
150,150,83.91615512599998,11.952,True,2000,0.1,25
151,151,88.28521042400001,11.952,True,2000,0.1,25
152,152,92.593421562,11.952,True,2000,0.1,25
153,153,96.88926906700004,11.952,True,2000,0.1,25
154,154,101.17761086800004,11.952,True,2000,0.1,25
155,155,105.48365052799994,11.952,True,2000,0.1,25
156,156,3.4114918779999925,9.206,True,2000,0.15,25
157,157,7.847389401999976,11.952,True,2000,0.15,25
158,158,12.247389355999985,11.952,True,2000,0.15,25
159,159,16.188035583999977,11.952,True,2000,0.15,25
160,160,20.222832871000037,11.952,True,2000,0.15,25
161,161,24.24088224100001,11.952,True,2000,0.15,25
162,162,28.229349318000004,11.952,True,2000,0.15,25
163,163,32.260744155,11.952,True,2000,0.15,25
164,164,36.22419762300001,11.952,True,2000,0.15,25
165,165,40.379785371000025,11.952,True,2000,0.15,25
166,166,44.62562775499998,11.952,True,2000,0.15,25
167,167,48.74732312399999,11.952,True,2000,0.15,25
168,168,53.13877486800004,11.952,True,2000,0.15,25
169,169,57.729399479999984,11.952,True,2000,0.15,25
170,170,62.067090800000074,11.952,True,2000,0.15,25
171,171,66.44035614699999,11.952,True,2000,0.15,25
172,172,70.857971712,11.952,True,2000,0.15,25
173,173,75.15650109299997,11.952,True,2000,0.15,25
174,174,79.52837993499998,11.952,True,2000,0.15,25
175,175,84.03759981600001,11.952,True,2000,0.15,25
176,176,88.43428371599998,11.952,True,2000,0.15,25
177,177,92.849356887,11.952,True,2000,0.15,25
178,178,97.12308470300002,11.952,True,2000,0.15,25
179,179,101.34374472500008,11.952,True,2000,0.15,25
180,180,105.638550195,11.952,True,2000,0.15,25
181,181,109.79559801100004,11.952,True,2000,0.15,25
182,182,3.2734495250000464,9.206,True,2000,0.2,25
183,183,7.247912372999963,11.952,True,2000,0.2,25
184,184,11.240504988999987,11.952,True,2000,0.2,25
185,185,15.188688298999978,11.952,True,2000,0.2,25
186,186,19.244129156999975,11.952,True,2000,0.2,25
187,187,23.350707766000028,11.952,True,2000,0.2,25
188,188,27.338774253999986,11.952,True,2000,0.2,25
189,189,31.507115537000004,11.952,True,2000,0.2,25
190,190,35.72879311400004,11.952,True,2000,0.2,25
191,191,39.89742172299998,11.952,True,2000,0.2,25
192,192,43.82886988500002,11.952,True,2000,0.2,25
193,193,47.89837400400006,11.952,True,2000,0.2,25
194,194,51.83135207500004,11.952,True,2000,0.2,25
195,195,55.73978682300003,11.952,True,2000,0.2,25
