,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,9.206,1.573661493000003,"[1, 4, 5, 2, 6, 3, 7, 0]",True,1000,0.05,25
1,25,11.952,54.705209009,"[1, 5, 0, 3, 6, 2, 7, 4]",True,1000,0.05,25
2,0,9.206,1.6246195589999957,"[1, 4, 5, 2, 6, 3, 7, 0]",True,1000,0.1,25
3,25,11.952,52.076371617999996,"[0, 5, 1, 4, 7, 2, 6, 3]",True,1000,0.1,25
4,0,9.206,1.5911529619999953,"[1, 4, 5, 2, 6, 3, 7, 0]",True,1000,0.15,25
5,25,11.952,50.94047388200002,"[0, 5, 1, 4, 7, 2, 6, 3]",True,1000,0.15,25
6,0,9.206,1.5459378820000325,"[1, 4, 5, 2, 6, 3, 7, 0]",True,1000,0.2,25
7,25,11.952,51.40234042600002,"[5, 0, 3, 6, 2, 7, 4, 1]",True,1000,0.2,25
8,0,9.206,3.1315801580000198,"[1, 4, 5, 2, 6, 3, 7, 0]",True,2000,0.05,25
9,25,11.952,103.91377220100003,"[0, 5, 1, 4, 7, 2, 6, 3]",True,2000,0.05,25
10,0,9.206,3.2000440489999846,"[1, 4, 5, 2, 6, 3, 7, 0]",True,2000,0.1,25
11,25,11.952,105.48365052799994,"[2, 6, 3, 0, 5, 1, 4, 7]",True,2000,0.1,25
12,0,9.206,3.4114918779999925,"[1, 4, 5, 2, 6, 3, 7, 0]",True,2000,0.15,25
13,25,11.952,109.79559801100004,"[4, 1, 5, 0, 3, 6, 2, 7]",True,2000,0.15,25
14,0,9.206,3.2734495250000464,"[1, 4, 5, 2, 6, 3, 7, 0]",True,2000,0.2,25
15,25,11.952,105.32999442000005,"[6, 3, 0, 5, 1, 4, 7, 2]",True,2000,0.2,25
16,0,9.206,4.937425773999962,"[1, 4, 5, 2, 6, 3, 7, 0]",True,3000,0.05,25
17,25,11.952,158.47439208799995,"[6, 2, 7, 4, 1, 5, 0, 3]",True,3000,0.05,25
18,0,9.206,4.913192154000058,"[1, 4, 5, 2, 6, 3, 7, 0]",True,3000,0.1,25
19,25,11.952,159.43249295199996,"[5, 0, 3, 6, 2, 7, 4, 1]",True,3000,0.1,25
20,0,9.206,4.94600162200004,"[1, 4, 5, 2, 6, 3, 7, 0]",True,3000,0.15,25
21,25,11.952,157.38607099800015,"[1, 5, 0, 3, 6, 2, 7, 4]",True,3000,0.15,25
22,0,9.206,4.627613999000005,"[1, 4, 5, 2, 6, 3, 7, 0]",True,3000,0.2,25
23,25,11.952,150.83659378300013,"[4, 1, 5, 0, 3, 6, 2, 7]",True,3000,0.2,25
