,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,9.206,0.0019702139998116763,"[1, 4, 5, 2, 6, 3, 7, 0]",10,2500,0
1,2500,11.788,0.3851733980000063,"[4, 0, 5, 2, 7, 3, 6, 1]",10,2500,0
2,0,9.543,0.3961996719999661,"[0, 7, 2, 4, 5, 3, 1, 6]",10,2500,1
3,2500,11.57,0.8204940000000533,"[1, 4, 7, 2, 5, 0, 3, 6]",10,2500,1
4,0,10.522,0.8330854040000304,"[0, 3, 1, 5, 2, 7, 6, 4]",10,2500,2
5,2500,11.788,1.2460369519999404,"[0, 5, 2, 7, 3, 6, 1, 4]",10,2500,2
6,0,10.522,1.2580609870001354,"[3, 0, 4, 6, 7, 2, 5, 1]",10,2500,3
7,2500,11.952,1.6484234839999772,"[5, 0, 3, 6, 2, 7, 4, 1]",10,2500,3
8,0,9.076,1.6631482210000286,"[5, 1, 0, 3, 7, 2, 4, 6]",10,2500,4
9,2500,11.567,2.058029751000049,"[2, 5, 1, 6, 3, 0, 4, 7]",10,2500,4
10,0,8.385,2.0743151370002124,"[5, 4, 3, 0, 7, 1, 2, 6]",10,2500,5
11,2500,11.788,2.5968006990001413,"[5, 2, 7, 3, 6, 1, 4, 0]",10,2500,5
12,0,9.064,2.6141467190000185,"[1, 2, 4, 0, 5, 3, 6, 7]",10,2500,6
13,2500,11.788,3.1943267830001787,"[5, 0, 4, 1, 6, 3, 7, 2]",10,2500,6
14,0,8.838999999999999,3.2135199379999904,"[3, 4, 6, 0, 2, 1, 5, 7]",10,2500,7
15,2500,11.952,3.6832070229997953,"[2, 7, 4, 1, 5, 0, 3, 6]",10,2500,7
16,0,9.289000000000001,3.703053385000203,"[0, 2, 5, 3, 1, 4, 7, 6]",10,2500,8
17,2500,11.952,4.13519081000004,"[6, 2, 7, 4, 1, 5, 0, 3]",10,2500,8
18,0,7.911,4.157938518999799,"[2, 3, 4, 7, 6, 1, 0, 5]",10,2500,9
19,2500,11.57,4.620555014999809,"[1, 6, 3, 0, 5, 2, 7, 4]",10,2500,9
20,0,8.158999999999999,4.644498962999933,"[3, 2, 0, 1, 4, 7, 5, 6]",10,2500,10
21,2500,11.690999999999999,5.1245367460001034,"[5, 2, 6, 1, 4, 7, 3, 0]",10,2500,10
